date,integer,currency,postcode,decimal,singlechar
28/11/2013,697,£37.99,E98 1BB,9.02,N
05/02/2015,933,£38.99,FY8 4FY,7.49,Y
18/09/2011,806,£39.99,RG6 3BU,9.58,Y
12/04/2010,607,£40.99,IG5 0AJ,2.07,N
14/07/2010,645,£41.99,M9 6HX,2.88,N
08/03/2020,380,£42.99,S63 7NQ,4.4,Y
25/05/2014,687,£43.99,BT20 4DE,3.21,Y
29/12/2014,966,£44.99,WN2 1LS,7.86,N
04/11/2020,486,£45.99,M44 5LJ,8.48,N
28/09/2009,775,£46.99,PL15 7FA,3.15,N
25/12/2018,375,£47.99,BS16 9RE,4.35,Y
21/10/2018,103,£48.99,B90 1LX,8.41,N
27/11/2018,54,£49.99,WF13 2AB,2.7,Y
23/08/2012,408,£50.99,PA3 1RY,8.97,Y
20/04/2016,238,£51.99,NW1W 7ED,9.2,Y
17/06/2014,60,£52.99,NW11 7AA,7.41,Y
05/12/2012,808,£53.99,ML1 3HF,4.07,N
09/05/2020,291,£54.99,CV23 8US,5.53,N
06/09/2019,755,£55.99,ME14 9YZ,6.13,N
17/10/2017,313,£56.99,EH45 9LF,1.65,Y
02/04/2012,358,£57.99,EX32 9DX,3.71,N
04/08/2018,994,£58.99,SE14 5LX,6.32,Y
10/11/2012,395,£59.99,TW14 8JN,5.84,N
24/02/2019,634,£60.99,WV14 6JU,4.45,Y
12/08/2010,147,£61.99,RH11 7SW,3.37,Y
04/12/2015,779,£62.99,AB16 9UX,5.77,Y
13/02/2018,810,£63.99,GU25 4AB,8.2,Y
14/03/2011,492,£64.99,LE9 8GU,4.94,N
29/05/2019,784,£65.99,LL61 6PZ,6.62,Y
25/08/2017,800,£66.99,CO10 2AQ,6.47,N
12/05/2011,796,£67.99,IP24 1JN,6.77,N
04/11/2020,406,£68.99,DY1 2GY,2.4,N
14/07/2017,744,£69.99,CH2 3AY,10,N
24/12/2012,55,£70.99,S71 4EP,8.79,Y
17/08/2015,491,£71.99,TN12 8BJ,4.13,Y
19/01/2011,888,£72.99,TR3 7DF,2.17,N
23/08/2016,231,£73.99,DY1 3TT,1.31,Y
08/12/2012,583,£74.99,SK2 5QJ,4.77,N
01/09/2015,572,£75.99,EX22 6QX,7.52,Y
18/09/2014,418,£76.99,ZE2 9FL,3,N
17/04/2015,768,£77.99,DA16 1QH,6.68,Y
03/06/2019,392,£78.99,ST3 5HW,7.96,N
22/08/2015,801,£79.99,CF11 7ED,4.72,Y
10/02/2019,154,£80.99,WA9 2AL,5.83,Y
24/04/2010,698,£81.99,SS17 7JG,4.46,N
15/05/2016,479,£82.99,NR20 5EB,9.95,N
13/10/2021,131,£83.99,BT49 0LD,2.62,Y
02/12/2016,978,£84.99,G61 4AJ,1.58,Y
26/07/2018,154,£85.99,WC1N 1EA,5.1,N
04/05/2010,338,£86.99,SO19 9DQ,5.52,N
26/10/2017,699,£87.99,IV2 6EE,3.12,Y
09/10/2012,772,£88.99,G69 6AD,4.47,Y
09/03/2014,202,£89.99,AB42 4HB,7.83,Y
02/12/2019,322,£90.99,DL10 4US,7.45,N
30/11/2015,506,£91.99,NR35 2NF,4.64,Y
23/02/2013,799,£92.99,BN24 6QG,8.51,N
03/04/2014,812,£93.99,CA2 5SE,4.4,N
21/02/2017,286,£94.99,HP13 5HH,7.11,N
17/06/2010,230,£95.99,W10 5GN,5.16,Y
25/02/2011,421,£96.99,SN9 6HD,7.01,N
28/12/2017,Magid El-Amin,£97.99,HA3 5HQ,4.52,Y
01/02/2011,1000,£98.99,BS20 0PX,4.05,Y
18/07/2010,653,£99.99,BN25 4NF,2.9,Y
10/02/2014,402,£100.99,NP10 8UN,9.22,Y
19/01/2018,197,£101.99,TW9 2AB,8.01,N
16/12/2019,931,£102.99,AL10 0LZ,2.6,Y
23/07/2010,416,£103.99,EX35 6PS,9.68,Y
21/11/2016,500,£104.99,SK10 4LL,7.3,Y
21/09/2021,423,£105.99,PL12 6DR,9.92,N
09/11/2019,110,£106.99,HA8 9GF,4.54,N
01/07/2021,381,£107.99,AB54 4ST,9.27,Y
10/02/2015,105,£108.99,PL24 2TT,2.22,Y
07/09/2016,453,£109.99,BT48 6AQ,8.24,N
18/04/2014,994,£110.99,WA2 0JF,1,N
12/02/2019,702,£111.99,MK42 9AL,6.15,N
15/05/2014,220,£112.99,N11 3HX,9.57,N
12/07/2016,61,£113.99,WN8 7DJ,5.72,Y
04/02/2015,399,£114.99,BT30 6UJ,7.77,N
06/05/2015,816,£115.99,SY7 8ED,7.07,N
13/03/2017,160,£116.99,FY2 9SH,5.01,N
25/09/2010,610,£117.99,RG30 4NS,3.05,N
25/09/2009,827,£118.99,SR5 4NR,1.03,N
03/02/2021,972,£119.99,TN15 8RU,5.23,Y
17/11/2010,991,£120.99,SO53 1FH,5.71,N
06/09/2017,898,£121.99,L25 4AL,7.74,N
19/07/2013,763,£122.99,BT66 7NL,3.53,hello
11/09/2019,551,£123.99,SY3 5BD,9.07,N
31/10/2011,854,£124.99,BS35 1NG,9.71,Y
06/09/2018,552,£125.99,GU23 7AN,3.47,N
24/04/2017,803,£126.99,AB25 9BL,5.77,YN
04/09/2014,440,£127.99,OX4 9LN,2.77,Y
26/10/2011,7,£128.99,MK6 4AD,4.53,Y
19/10/2011,247,£129.99,WR3 7UU,1.1,Y
05/01/2016,802,£130.99,S63 7PZ,8.07,Y
29/11/2012,904,£131.99,MK16 9AG,9.17,Y
30/09/2018,643,£132.99,B16 9AA,8,Y
03/11/2016,728,£133.99,CH8 9AH,1.91,N
04/06/2011,593,£134.99,HP13 6XT,3.36,N
12/08/2020,944,£135.99,BN2 9TP,5.55,Y
27/03/2021,254,£136.99,CH45 5JQ,hello,Y
hello,186,£137.99,ST7 4QF,8.38,Y
12/05/2016,174,£138.99,NE40 3UB,2.1,Y
20/10/2016,942,£139.99,LL45 2LW,6.98,N
25/10/2013,1.234,£140.99,BB2 7AH,10,N
26/02/2011,634,£141.99,MK44 3RA,2.05,N
31/08/2014,835,£142.99,EX20 9AP,8.7,N
13/04/2015,hello,£143.99,G46 6UQ,8.32,Y
